;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;gdd5;mtco;pann;e_pe;tann;mtwa;long;lati;alti;biome;age
BP117;0.467289719626169;0;0;0;0.467289719626169;21.0280373831776;0;0;5.14018691588786;0;0;5.14018691588786;0;22.4299065420561;1.40186915887851;0;0;0;1.4018691588785;0;0;0.467289719626169;0;8.8785046728972;0.934579439252338;28.9719626168224;0;0;3.27102803738317;0;0;NA;NA;NA;NA;NA;NA;8.3262;47.122;419;NA;11632.1298
BP118;1.17647058823529;0;0;1.17647058823529;0;11.7647058823529;0;0;8.23529411764706;0;0;3.52941176470589;0;17.6470588235294;1.17647058823529;1.17647058823529;0;0;0;0;0;1.17647058823529;0;9.41176470588235;0;42.3529411764706;0;0;1.17647058823529;0;0;NA;NA;NA;NA;NA;NA;8.3263;47.123;419;NA;11660.00914
BP119;1.75438596491229;0;0;0;0;10.5263157894737;0;0;3.50877192982456;0;0;1.75438596491229;0;22.8070175438597;0;0;0;0;0;0;0;0;0;10.5263157894737;3.50877192982456;45.6140350877193;0;0;0;0;0;NA;NA;NA;NA;NA;NA;8.3264;47.124;419;NA;11715.76782
BP120;0;0;0;0;0;6.41025641025641;0;0;3.84615384615385;0;0;2.56410256410256;0;24.3589743589744;0;0;0;0;1.28205128205128;0;0;0;0;6.41025641025641;2.56410256410256;52.5641025641026;0;0;0;0;0;NA;NA;NA;NA;NA;NA;8.3265;47.125;419;NA;11771.52651
BP121;0.75187969924812;0;0;0.75187969924812;0;15.7894736842105;0;0;3.7593984962406;0;0;6.76691729323308;0;15.7894736842105;0;0;0;0;0.75187969924812;0;0;0;0;5.26315789473685;2.25563909774436;47.3684210526316;0;0;0.75187969924812;0;0;NA;NA;NA;NA;NA;NA;8.3266;47.126;419;NA;11827.28519
BP122;0;0;0;0;0;15.2380952380953;0;0;4.76190476190476;0;0;8.57142857142857;0;11.4285714285715;0;0;0;0;0;0;0;0;0;5.71428571428572;0.952380952380952;52.3809523809523;0;0;0.952380952380952;0;0;NA;NA;NA;NA;NA;NA;8.3267;47.127;419;NA;11883.04388
BP123;0;0;0;1.5;0;21.5;0;0;7.5;0;0;3.5;0;11.5;1.5;0;0;0;0;0;0;0.5;0;4.5;0;46.5;0;0;1.5;0;0;NA;NA;NA;NA;NA;NA;8.3268;47.128;419;NA;11938.80256
BP124;1.24223602484472;0;0;0;0;35.4037267080745;0;0;4.96894409937888;0;0;5.59006211180124;0;12.4223602484472;1.24223602484472;0;0;0;0.62111801242236;0;0;0.62111801242236;0;9.93788819875777;0.62111801242236;26.0869565217391;0;0;0.62111801242236;0.62111801242236;0;NA;NA;NA;NA;NA;NA;8.3269;47.129;419;NA;11994.56124
BP125;0.390625;0;0;0;0;21.484375;0;0;2.734375;0;0;5.46875000000001;0;11.71875;4.296875;0;0;0;0;0;0;0.390625;0;11.71875;1.171875;40.625;0;0;0;0;0;NA;NA;NA;NA;NA;NA;8.3270;47.130;419;NA;12050.31993
BP126;0.54054054054054;0;0;0;0;20.5405405405406;0;0;4.32432432432432;0;0;5.94594594594594;0;10.8108108108108;1.62162162162162;0;0;0;0;0;0;0.54054054054054;0;22.1621621621622;1.08108108108108;31.3513513513513;0;0;1.08108108108108;0;0;NA;NA;NA;NA;NA;NA;8.3271;47.131;419;NA;12106.07861
BP127;0.8;0;0;0;0;22.4;0;0;3.2;0;0;9.6;0;8;1.6;0;0;0;0;0;0;0.8;0;10.4;1.6;40.8;0;0;0.8;0;0;NA;NA;NA;NA;NA;NA;8.3272;47.132;419;NA;12161.83729
BP128;2.70270270270271;0;0;0;1.35135135135135;17.5675675675676;0;0;5.40540540540541;0;0;6.75675675675676;0;5.40540540540541;2.70270270270271;0;0;0;0;0;0;1.35135135135135;0;14.8648648648648;1.35135135135135;40.5405405405405;0;0;0;0;0;NA;NA;NA;NA;NA;NA;8.3273;47.133;419;NA;12217.59598
