;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;gdd5;mtco;pann;e_pe;tann;mtwa;long;lati;alti;biome;age
BP6;7.53860127157131;0.635785649409628;0;12.3524069028156;0.454132606721163;0;0;0;4.08719346049046;0;0.36330608537693;0.0908265213442326;10.4450499545868;5.35876475930972;0;0;8.44686648501363;0.817438692098094;1.27157129881926;0;0;8.99182561307902;0;5.08628519527702;2.81562216167121;12.3524069028156;0;17.4386920980927;1.18074477747502;0.0908265213442326;0.181653042688465;NA;NA;NA;NA;NA;NA;8.3151;47.11;419;NA;876.5726681
BP7;5;0.116279069767441;0;15;0.58139534883721;0.116279069767441;0;0;8.13953488372092;0;0.58139534883721;0.116279069767441;13.953488372093;3.48837209302325;0;0.116279069767441;9.1860465116279;0.465116279069767;1.62790697674418;0;0;7.32558139534883;0;5.11627906976744;2.09302325581396;11.046511627907;0;15;0.930232558139535;0;0;NA;NA;NA;NA;NA;NA;8.3152;47.12;419;NA;1022.668113
BP8;4.99468650371945;0.212539851222104;0;17.3219978746015;0.212539851222104;0;0;0;8.07651434643996;0;0.318809776833156;0.106269925611052;14.8777895855473;5.95111583421891;0;0;8.60786397449521;0.318809776833156;2.8692879914984;0;0;5.84484590860786;0;3.29436769394261;2.76301806588735;10.201912858661;0;12.6461211477152;1.06269925611052;0.106269925611052;0.212539851222104;NA;NA;NA;NA;NA;NA;8.3153;47.13;419;NA;1168.763557
BP9;4.79041916167664;0.239520958083832;0;10.7784431137725;0;0;0;0;7.54491017964072;0;0.479041916167664;0;13.0538922155689;5.26946107784431;0;0.359281437125748;12.3353293413174;0.958083832335329;2.9940119760479;0;0;5.86826347305389;0;2.39520958083832;2.75449101796407;12.2155688622754;0;16.0479041916168;1.55688622754491;0.119760479041916;0.239520958083832;NA;NA;NA;NA;NA;NA;8.3154;47.14;419;NA;1314.859002
BP10;5.99144079885876;0.14265335235378;0;14.5506419400856;0.42796005706134;0.285306704707561;0;0;6.13409415121254;0;0.57061340941512;0.14265335235378;9.84308131241082;3.42368045649072;0;0.14265335235378;12.981455064194;0.285306704707561;1.99714693295292;0;0;3.70898716119828;0;1.56918687589158;2.28245363766048;14.6932952924394;0;18.5449358059914;1.85449358059914;0.285306704707561;0.14265335235378;NA;NA;NA;NA;NA;NA;8.3155;47.15;419;NA;1460.954447
BP11;6.21761658031088;0.38860103626943;0;14.8963730569948;0.38860103626943;0.906735751295337;0;0;3.8860103626943;0;0.38860103626943;0;13.4715025906736;4.79274611398964;0;0.129533678756477;12.6943005181347;1.16580310880829;4.14507772020726;0;0;6.21761658031088;0;1.6839378238342;2.33160621761658;10.1036269430052;0;14.5077720207253;1.42487046632125;0.129533678756477;0.129533678756477;NA;NA;NA;NA;NA;NA;8.3156;47.16;419;NA;1607.049892
BP12;7.45473908413206;0.212992545260916;0;13.4185303514376;0.638977635782748;0.425985090521832;0;0;3.19488817891374;0;0.425985090521832;0.212992545260916;16.6134185303515;5.75079872204473;0;0.212992545260916;12.779552715655;0.53248136315229;2.98189563365282;0;0;4.68583599574015;0;2.0234291799787;1.49094781682641;13.5250266240682;0;11.1821086261981;2.23642172523962;0;0;NA;NA;NA;NA;NA;NA;8.3157;47.17;419;NA;1753.145336
BP13;6.71378091872791;0;0;10.0117785630153;0.824499411071849;0.588928150765606;0;0;2.70906949352179;0;1.06007067137809;0.235571260306243;15.9010600706714;5.65371024734982;0;0.117785630153121;16.8433451118963;1.06007067137809;3.06242638398116;0;0;2.35571260306243;0;1.06007067137809;1.88457008244994;13.8987043580683;0;13.0742049469965;2.59128386336867;0.117785630153121;0.235571260306243;NA;NA;NA;NA;NA;NA;8.3158;47.18;419;NA;1899.240781
BP14;7.97687861271677;0;0;11.6763005780347;0.346820809248555;1.27167630057804;0;0;2.89017341040462;0;0.69364161849711;0.115606936416185;13.1791907514451;4.39306358381503;0;0;14.4508670520232;0.809248554913296;2.89017341040462;0;0;3.35260115606936;0;2.08092485549133;1.73410404624277;15.1445086705202;0;14.3352601156069;2.65895953757225;0;0;NA;NA;NA;NA;NA;NA;8.3159;47.19;419;NA;2045.336226
BP15;9.2534174553102;0;0;19.348054679285;0.210304942166141;0.420609884332281;0;0;4.52155625657202;0;0.946372239747634;0;10.7255520504732;2.20820189274448;0;0.420609884332281;21.0304942166141;1.57728706624605;0.841219768664564;0;0;5.15247108307045;0;0.736067297581494;0.841219768664564;10.8307045215563;0;9.56887486855941;1.15667718191377;0;0.210304942166141;NA;NA;NA;NA;NA;NA;8.3160;47.20;419;NA;2191.43167
