Pays;Annee_civile;Annee;G;L;H;Rdt
Belgium;2003;1;0.8;0.2;2.56;3.611
Iceland_a;2003;1;0.8;0.2;2.56;1.119
Sweden_a;2003;1;0.8;0.2;2.56;4.441
Belgium;2004;2;0.8;0.2;2.56;6.879
France;2004;1;0.8;0.2;2.56;2.838
Iceland_a;2004;2;0.8;0.2;2.56;0.776
Norway_a;2004;1;0.8;0.2;2.56;5.646
Sweden_a;2004;2;0.8;0.2;2.56;4.298
Sweden_b;2004;1;0.8;0.2;2.56;2.791
Belgium;2005;3;0.8;0.2;2.56;5.061
France;2005;2;0.8;0.2;2.56;4.917
Iceland_a;2005;3;0.8;0.2;2.56;1.223
Norway_a;2005;2;0.8;0.2;2.56;4.823
Sweden_a;2005;3;0.8;0.2;2.56;3.879
Sweden_b;2005;2;0.8;0.2;2.56;2.774
France;2006;3;0.8;0.2;2.56;3.846
Norway_a;2006;3;0.8;0.2;2.56;4.898
Sweden_b;2006;3;0.8;0.2;2.56;1.9
Belgium;2003;1;0.5;0.5;3.3;4.484
Iceland_a;2003;1;0.5;0.5;3.3;3.545
Sweden_a;2003;1;0.5;0.5;3.3;3.865
Belgium;2004;2;0.5;0.5;3.3;7.247
France;2004;1;0.5;0.5;3.3;2.413
Iceland_a;2004;2;0.5;0.5;3.3;1.837
Norway_a;2004;1;0.5;0.5;3.3;5.024
Sweden_a;2004;2;0.5;0.5;3.3;3.752
Sweden_b;2004;1;0.5;0.5;3.3;3.819
Belgium;2005;3;0.5;0.5;3.3;4.23
France;2005;2;0.5;0.5;3.3;4.058
Iceland_a;2005;3;0.5;0.5;3.3;1.715
Norway_a;2005;2;0.5;0.5;3.3;2.92
Sweden_a;2005;3;0.5;0.5;3.3;3.164
Sweden_b;2005;2;0.5;0.5;3.3;2.813
France;2006;3;0.5;0.5;3.3;2.909
Norway_a;2006;3;0.5;0.5;3.3;2.866
Sweden_b;2006;3;0.5;0.5;3.3;1.769
Belgium;2003;1;0.5;0.5;3.3;3.814
Iceland_a;2003;1;0.5;0.5;3.3;2.622
Sweden_a;2003;1;0.5;0.5;3.3;3.505
Belgium;2004;2;0.5;0.5;3.3;7.524
France;2004;1;0.5;0.5;3.3;2.869
Iceland_a;2004;2;0.5;0.5;3.3;1.784
Norway_a;2004;1;0.5;0.5;3.3;5.06
Sweden_a;2004;2;0.5;0.5;3.3;3.225
Sweden_b;2004;1;0.5;0.5;3.3;4.03
Belgium;2005;3;0.5;0.5;3.3;4.532
France;2005;2;0.5;0.5;3.3;4.686
