KIDEN	juge	rang	Produit	O pom crue	O pom cuite	S sucre	S acide	S amer	S pom crue	S pom verte 1	S pom verte 2	S pom cuite	S vanille	S ss bois	S astringent	T lisse	T fluide	T nappant	A clarte	A jaune	A vert	A brun	A brillant	A phase aqueuse	A granuleux	A fluide	Note hedonique 1	Note hedonique 2
256	juge2	rang 5	St Mamet	3,00	4,00	5,00	7,00	2,00	6,00	3,00	1,00	6,00	4,00	1,00	4,00	6,00	8,00	2,00	7,00	5,00	4,00	7,00	7,00	2,00	4,00	3,00	7,00	5,00
261	juge2	rang 6	Poti	6,00	6,00	3,00	3,00	8,00	4,00	2,00	1,00	7,00	2,00	2,00	6,00	7,00	5,00	7,00	2,00	7,00	4,00	7,00	2,00	0,00	1,00	1,00	0,00	1,00
316	juge3	rang 1	St Mamet	2,00	7,00	5,00	0,00	0,00	2,00	0,00	0,00	7,00	6,00	0,00	0,00	9,00	7,00	7,00	6,00	4,00	7,00	6,00	9,00	1,00	8,00	3,00	7,00	7,00
323	juge3	rang 2	Andros	6,00	8,00	2,00	0,00	0,00	7,00	0,00	5,00	4,00	3,00	0,00	0,00	9,00	5,00	8,00	1,00	8,00	8,00	1,00	6,00	0,00	8,00	0,00	9,00	2,00
331	juge3	rang 3	Poti	3,00	7,00	2,00	0,00	0,00	2,00	0,00	0,00	6,00	2,00	0,00	0,00	9,00	5,00	8,00	1,00	9,00	8,00	1,00	5,00	0,00	2,00	1,00	8,00	8,00
342	juge3	rang 4	Scoup	0,00	0,00	2,00	3,00	5,00	0,00	3,00	3,00	1,00	1,00	8,00	4,00	8,00	5,00	8,00	5,00	7,00	9,00	7,00	4,00	1,00	1,00	1,00	0,00	2,00
354	juge3	rang 5	Carrefour	2,00	7,00	7,00	1,00	2,00	3,00	1,00	10,00	2,00	7,00	2,00	0,00	9,00	6,00	8,00	1,00	9,00	8,00	2,00	7,00	3,00	7,00	3,00	0,00	5,00
365	juge3	rang 6	Délisse	3,00	6,00	5,00	0,00	2,00	5,00	0,00	2,00	3,00	8,00	0,00	1,00	9,00	8,00	6,00	3,00	7,00	9,00	7,00	4,00	2,00	7,00	7,00	0,00	7,00
411	juge4	rang 1	Poti	0,00	4,00	7,00	0,00	0,00	2,00	0,00	0,00	7,00	1,00	0,00	0,00	10,00	5,00	8,00	1,00	8,00	3,00	6,00	6,00	0,00	2,00	1,00	3,00	1,00
426	juge4	rang 2	St Mamet	0,00	9,00	3,00	2,00	6,00	0,00	0,00	0,00	7,00	2,00	1,00	2,00	4,00	8,00	5,00	7,00	7,00	0,00	10,00	7,00	0,00	1,00	9,00	7,00	6,00
434	juge4	rang 3	Carrefour	0,00	10,00	6,00	0,00	3,00	1,00	0,00	0,00	8,00	1,00	4,00	0,00	0,00	6,00	8,00	3,00	7,00	3,00	9,00	6,00	0,00	9,00	9,00	7,00	2,00
443	juge4	rang 4	Andros	0,00	8,00	6,00	1,00	3,00	0,00	1,00	0,00	7,00	1,00	4,00	0,00	0,00	7,00	10,00	3,00	8,00	3,00	8,00	6,00	0,00	2,00	2,00	2,00	1,00
455	juge4	rang 5	Délisse	2,00	7,00	4,00	1,00	2,00	2,00	0,00	0,00	5,00	0,00	1,00	1,00	2,00	5,00	9,00	4,00	6,00	8,00	8,00	4,00	0,00	4,00	9,00	2,00	5,00
462	juge4	rang 6	Scoup	0,00	0,00	0,00	3,00	1,00	0,00	0,00	0,00	0,00	0,00	8,00	0,00	0,00	6,00	8,00	6,00	8,00	2,00	8,00	4,00	0,00	3,00	9,00	0,00	0,00
515	juge5	rang 1	Délisse	9,00	3,00	9,00	7,00	2,00	9,00	9,00	10,00	1,00	1,00	0,00	0,00	8,00	9,00	7,00	5,00	7,00	8,00	1,00	10,00	0,00	1,00	7,00	9,00	8,00
524	juge5	rang 2	Carrefour	6,00	2,00	9,00	4,00	2,00	7,00	5,00	6,00	0,00	0,00	0,00	0,00	3,00	6,00	2,00	3,00	8,00	7,00	5,00	7,00	5,00	9,00	8,00	2,00	1,00
532	juge5	rang 3	Scoup	9,00	3,00	6,00	4,00	5,00	3,00	4,00	4,00	5,00	1,00	7,00	3,00	3,00	5,00	7,00	8,00	4,00	7,00	9,00	6,00	7,00	9,00	7,00	1,00	0,00
541	juge5	rang 4	Poti	3,00	6,00	5,00	1,00	0,00	4,00	1,00	1,00	7,00	2,00	0,00	0,00	10,00	8,00	9,00	1,00	9,00	8,00	4,00	6,00	1,00	0,00	2,00	1,00	2,00
553	juge5	rang 5	Andros	6,00	9,00	2,00	4,00	7,00	4,00	3,00	1,00	7,00	0,00	8,00	4,00	0,00	3,00	7,00	3,00	9,00	5,00	8,00	7,00	1,00	5,00	2,00	0,00	8,00
566	juge5	rang 6	St Mamet	2,00	10,00	8,00	7,00	2,00	2,00	3,00	2,00	9,00	5,00	1,00	0,00	6,00	8,00	7,00	9,00	3,00	6,00	10,00	8,00	2,00	7,00	9,00	3,00	1,00
614	juge6	rang 1	Carrefour	6,00	2,00	7,00	4,00	0,00	3,00	4,00	0,00	2,00	1,00	0,00	0,00	8,00	1,00	7,00	2,00	6,00	4,00	0,00	7,00	0,00	3,00	2,00	3,00	3,00
621	juge6	rang 2	Poti	0,00	2,00	9,00	5,00	0,00	1,00	2,00	4,00	2,00	0,00	0,00	3,00	10,00	0,00	9,00	2,00	6,00	8,00	1,00	7,00	0,00	1,00	1,00	6,00	6,00
635	juge6	rang 3	Délisse	7,00	3,00	5,00	7,00	0,00	6,00	8,00	3,00	2,00	1,00	1,00	1,00	9,00	7,00	3,00	7,00	1,00	5,00	8,00	9,00	4,00	1,00	10,00	4,00	5,00
646	juge6	rang 4	St Mamet	1,00	3,00	7,00	4,00	0,00	1,00	4,00	0,00	2,00	5,00	0,00	5,00	8,00	6,00	2,00	7,00	1,00	8,00	8,00	9,00	4,00	5,00	9,00	1,00	8,00
652	juge6	rang 5	Scoup	1,00	2,00	4,00	1,00	0,00	1,00	0,00	4,00	0,00	0,00	6,00	1,00	2,00	6,00	1,00	4,00	5,00	7,00	2,00	8,00	1,00	5,00	3,00	0,00	0,00
663	juge6	rang 6	Andros	1,00	2,00	9,00	1,00	4,00	2,00	0,00	3,00	1,00	0,00	2,00	3,00	6,00	7,00	8,00	1,00	5,00	9,00	0,00	9,00	4,00	6,00	1,00	1,00	6,00
811	juge8	rang 1	Poti	8,00	5,00	8,00	5,00	1,00	8,00	1,00	0,00	7,00	2,00	0,00	0,00	8,00	8,00	9,00	0,00	10,00	4,00	0,00	8,00	0,00	0,00	2,00	7,00	4,00
825	juge8	rang 2	Délisse	3,00	8,00	5,00	9,00	2,00	9,00	9,00	2,00	2,00	2,00	3,00	6,00	7,00	10,00	6,00	6,00	7,00	8,00	7,00	2,00	2,00	2,00	10,00	9,00	8,00
832	juge8	rang 3	Scoup	8,00	3,00	8,00	6,00	10,00	9,00	9,00	3,80	7,00	5,00	7,00	9,00	2,00	2,00	7,00	2,00	6,00	4,00	9,00	2,00	5,00	9,00	6,00	2,00	1,00
844	juge8	rang 4	Carrefour	5,00	9,00	4,00	6,00	2,00	6,00	0,00	0,00	9,00	1,00	1,00	1,00	4,00	6,00	1,00	5,00	9,00	5,00	3,00	1,00	1,00	1,00	6,00	9,00	10,00
856	juge8	rang 5	St Mamet	1,00	2,00	2,00	7,00	2,00	8,00	9,00	2,00	9,00	2,00	0,00	5,00	7,00	7,00	8,00	9,00	1,00	3,00	9,00	7,00	4,00	2,00	7,00	7,00	4,00
863	juge8	rang 6	Andros	3,00	8,00	9,00	5,00	8,00	7,00	1,00	0,00	6,00	4,00	0,00	0,00	1,00	1,00	1,00	2,00	8,00	8,00	4,00	6,00	1,00	8,00	1,00	8,00	5,00
1015	juge10	rang 1	Délisse	6,00	8,00	4,00	2,00	2,00	3,00	6,00	5,00	6,00	1,00	1,00	1,00	7,00	7,00	9,00	6,00	8,00	6,00	3,00	7,00	1,00	2,00	2,00	6,00	6,00
1024	juge10	rang 2	Carrefour	3,00	6,00	9,00	5,00	2,00	6,00	5,00	8,00	6,00	1,00	1,00	2,00	4,00	6,00	5,00	7,00	8,00	4,00	3,00	6,00	1,00	7,00	1,00	7,00	8,00
1031	juge10	rang 3	Poti	6,00	6,00	3,00	2,00	2,00	4,00	3,00	3,00	3,00	1,00	1,00	1,00	10,00	2,00	7,00	6,00	7,00	1,00	4,00	8,00	1,00	2,00	0,00	2,00	4,00
1043	juge10	rang 4	Andros	5,00	7,00	6,00	6,00	2,00	3,00	3,00	4,00	9,00	1,00	5,00	4,00	4,00	6,00	3,00	8,00	5,00	8,00	2,00	7,00	8,00	7,00	8,00	6,00	6,00
1052	juge10	rang 5	Scoup	3,00	8,00	9,00	1,00	3,00	3,00	3,00	10,00	6,00	6,00	5,00	3,00	2,00	9,00	6,00	2,00	4,00	5,00	7,00	6,00	9,00	9,00	10,00	8,00	9,00
1066	juge10	rang 6	St Mamet	4,00	7,00	9,00	7,00	3,00	4,00	4,00	3,00	7,00	1,00	4,00	3,00	7,00	4,00	8,00	2,00	3,00	7,00	5,00	4,00	1,00	2,00	6,00	3,00	3,00
1113	juge11	rang 1	Andros	3,00	8,00	10,00	0,00	0,00	0,00	0,00	0,00	8,00	2,00	0,00	1,00	8,00	3,00	2,00	1,00	10,00	10,00	0,00	6,00	0,00	1,00	4,00	8,00	9,00
1126	juge11	rang 2	St Mamet	0,00	9,00	6,00	6,00	0,00	0,00	2,00	0,00	8,00	0,00	3,00	6,00	10,00	5,00	2,00	3,00	9,00	7,00	7,00	8,00	3,00	0,00	10,00	0,00	0,00
1134	juge11	rang 3	Carrefour	4,00	9,00	10,00	0,00	0,00	0,00	0,00	0,00	10,00	7,00	0,00	0,00	4,00	5,00	1,00	2,00	10,00	3,00	0,00	8,00	3,00	1,00	6,00	0,00	8,00
1142	juge11	rang 4	Scoup	0,00	7,00	5,00	3,00	0,00	7,00	3,00	0,00	6,00	0,00	0,00	0,00	3,00	4,00	1,00	4,00	10,00	2,00	4,00	7,00	3,00	1,00	6,00	0,00	5,00
1155	juge11	rang 5	Délisse	0,00	8,00	10,00	0,00	0,00	0,00	0,00	0,00	8,00	0,00	3,00	2,00	7,00	6,00	1,00	4,00	10,00	0,00	4,00	7,00	2,00	0,00	9,00	0,00	7,00
1161	juge11	rang 6	Poti	0,00	7,00	6,00	2,00	0,00	0,00	0,00	0,00	6,00	0,00	0,00	0,00	9,00	1,00	7,00	1,00	10,00	8,00	0,00	8,00	1,00	0,00	1,00	3,00	7,00
1313	juge13	rang 1	Andros	5,00	0,00	6,00	1,00	0,00	6,00	0,00	0,00	1,00	0,00	1,00	0,00	1,00	0,00	9,00	0,00	6,00	5,00	0,00	10,00	0,00	7,00	0,00	6,00	7,00
1321	juge13	rang 2	Poti	9,00	0,00	4,00	0,00	1,00	0,00	0,00	0,00	5,00	0,00	6,00	0,00	10,00	1,00	10,00	6,00	3,00	7,00	5,00	8,00	0,00	2,00	4,00	0,00	0,00
1336	juge13	rang 3	St Mamet	2,00	8,00	2,00	7,00	0,00	7,00	10,00	0,00	2,00	0,00	0,00	2,00	0,00	6,00	1,00	7,00	0,00	4,00	10,00	10,00	2,00	8,00	9,00	8,00	9,00
1344	juge13	rang 4	Carrefour	7,00	2,00	9,00	0,00	0,00	0,00	0,00	6,00	8,00	0,00	0,00	0,00	0,00	8,00	1,00	1,00	3,00	6,00	0,00	6,00	6,00	8,00	9,00	2,00	7,00
1352	juge13	rang 5	Scoup	0,00	8,00	2,00	0,00	0,00	0,00	0,00	0,00	4,00	0,00	9,00	0,00	0,00	7,00	2,00	5,00	1,00	8,00	6,00	7,00	3,00	7,00	10,00	0,00	0,00
1365	juge13	rang 6	Délisse	2,00	7,00	5,00	4,00	0,00	4,00	7,00	0,00	0,00	0,00	10,00	0,00	7,00	6,00	9,00	2,00	4,00	8,00	0,00	4,00	5,00	7,00	9,00	6,00	8,00
1516	juge15	rang 1	St Mamet	3,00	6,00	9,00	6,00	1,00	7,00	7,00	0,00	2,00	6,00	0,00	0,00	2,00	2,00	3,00	3,00	1,00	8,00	6,00	5,00	1,00	1,00	2,00	5,00	10,00
1523	juge15	rang 2	Andros	1,00	1,00	7,00	3,00	1,00	9,00	7,00	0,00	2,00	2,00	2,00	1,00	3,00	1,00	7,00	1,00	1,00	8,00	2,00	3,00	0,00	2,00	0,00	3,00	4,00
1532	juge15	rang 3	Scoup	8,00	0,00	7,00	5,00	1,00	5,00	6,00	7,00	2,00	6,00	1,00	0,00	3,00	6,00	1,00	6,00	0,00	7,00	6,00	7,00	1,00	7,00	1,00	1,00	1,00
1541	juge15	rang 4	Poti	6,00	0,00	6,00	1,00	1,00	3,00	4,00	0,00	0,00	6,00	0,00	0,00	7,00	1,00	6,00	1,00	7,00	9,00	1,00	5,00	1,00	1,00	1,00	0,00	1,00
1555	juge15	rang 5	Délisse	2,00	2,00	5,00	2,00	1,00	3,00	5,00	1,00	7,00	1,00	0,00	2,00	8,00	5,00	1,00	7,00	1,00	7,00	6,00	7,00	3,00	1,00	7,00	1,00	2,00
1564	juge15	rang 6	Carrefour	9,00	1,00	8,00	6,00	0,00	7,00	6,00	0,00	2,00	4,00	0,00	0,00	1,00	4,00	3,00	2,00	2,00	8,00	2,00	6,00	1,00	6,00	3,00	6,00	4,00
1614	juge16	rang 1	Carrefour	7,00	4,00	8,00	3,00	1,00	7,00	2,00	6,00	3,00	7,00	2,00	1,00	6,00	6,00	6,00	3,00	8,00	5,00	1,00	7,00	0,00	5,00	3,00	6,00	5,00
1625	juge16	rang 2	Délisse	1,00	5,00	6,00	5,00	0,00	5,00	7,00	2,00	0,00	3,00	0,00	5,00	6,00	7,00	8,00	5,00	7,00	6,00	6,00	8,00	0,00	3,00	5,00	2,00	6,00
1631	juge16	rang 3	Poti	5,00	1,00	6,00	2,00	0,00	4,00	0,00	1,00	6,00	6,00	2,00	1,00	8,00	4,00	9,00	3,00	8,00	6,00	4,00	3,00	0,00	2,00	1,00	1,00	1,00
1642	juge16	rang 4	Scoup	5,00	1,00	7,00	4,00	2,00	6,00	1,00	1,00	3,00	5,00	2,00	5,00	4,00	4,00	8,00	5,00	7,00	4,00	5,00	6,00	3,00	3,00	4,00	3,00	1,00
1653	juge16	rang 5	Andros	4,00	3,00	8,00	4,00	0,00	2,00	6,00	1,00	1,00	6,00	1,00	4,00	3,00	2,00	9,00	3,00	8,00	7,00	1,00	5,00	1,00	5,00	4,00	1,00	7,00
1666	juge16	rang 6	St Mamet	5,00	4,00	7,00	7,00	0,00	3,00	7,00	2,00	0,00	6,00	1,00	6,00	4,00	6,00	5,00	6,00	6,00	2,00	7,00	6,00	2,00	3,00	5,00	0,00	2,00
1712	juge17	rang 1	Scoup	7,00	3,00	9,00	4,00	1,00	1,00	4,00	7,00	7,00	10,00	0,00	3,00	1,00	3,00	9,00	7,00	7,00	1,00	5,00	4,00	1,00	2,00	7,00	5,00	4,00
1726	juge17	rang 2	St Mamet	1,00	9,00	10,00	1,00	4,00	0,00	1,00	8,00	9,00	8,00	0,00	4,00	9,00	6,00	5,00	7,00	3,00	8,00	7,00	5,00	1,00	2,00	4,00	1,00	0,00
1735	juge17	rang 3	Délisse	5,00	6,00	9,00	5,00	1,00	6,00	1,00	7,00	7,00	7,00	0,00	1,00	9,00	7,00	9,00	2,00	9,00	4,00	2,00	9,00	3,00	1,00	6,00	7,00	6,00
1743	juge17	rang 4	Andros	3,00	8,00	3,00	2,00	2,00	1,00	2,00	4,00	9,00	8,00	0,00	1,00	2,00	5,00	10,00	0,00	9,00	2,00	1,00	5,00	2,00	3,00	7,00	8,00	1,00
1754	juge17	rang 5	Carrefour	1,00	6,00	5,00	0,00	2,00	7,00	0,00	1,00	6,00	7,00	1,00	0,00	8,00	9,00	8,00	0,00	7,00	9,00	0,00	8,00	3,00	1,00	8,00	4,00	6,00
1761	juge17	rang 6	Poti	4,00	9,00	7,00	4,00	3,00	6,00	0,00	2,00	7,00	8,00	0,00	2,00	10,00	1,00	9,00	7,00	2,00	8,00	7,00	5,00	2,00	0,00	1,00	0,00	0,00
1815	juge18	rang 1	Délisse	8,00	2,00	9,00	2,00	0,00	1,00	0,00	0,00	5,00	1,00	2,00	0,00	9,00	7,00	1,00	1,00	8,00	5,00	1,00	7,00	0,00	4,00	3,00	5,00	9,00
1822	juge18	rang 2	Scoup	10,00	1,00	6,00	3,00	0,00	2,00	0,00	0,00	3,00	3,00	9,00	2,00	1,00	3,00	2,00	3,00	7,00	6,00	5,00	7,00	1,00	7,00	2,00	0,00	1,00
1834	juge18	rang 3	Carrefour	1,00	9,00	7,00	4,00	0,00	1,00	5,00	3,00	8,00	0,00	2,00	0,00	2,00	2,00	2,00	3,00	7,00	6,00	2,00	9,00	0,00	4,00	3,00	1,00	3,00
1846	juge18	rang 4	St Mamet	2,00	8,00	10,00	3,00	0,00	2,00	1,00	0,00	8,00	1,00	0,00	0,00	10,00	10,00	1,00	9,00	4,00	3,00	6,00	10,00	0,00	2,00	10,00	5,00	3,00
