Consommateur;Produit;Appréciation;Ferme;Juteux;Sucré;Amer;Odeur intense;Acide;Croquant;Goûteux;Granuleux;Mou;Sans odeur;Sans goût;Farineux;Goût de pomme;Astringent
24;366;9;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0
24;548;9;1;1;1;0;0;0;1;1;0;0;0;0;0;1;1
24;992;4;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0
24;Ideal;;1;1;1;0;1;1;1;1;0;0;0;0;1;0;0
25;106;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0
25;257;4;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0
25;366;7;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0
25;548;4;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
25;992;8;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
25;Ideal;;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0
26;106;5;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1
26;257;7;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1
26;366;6;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0
26;548;9;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0
26;992;4;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0
26;Ideal;;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1
27;106;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
27;257;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
27;366;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
27;548;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
27;992;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
27;Ideal;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
28;106;9;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0
28;257;9;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0
28;366;6;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0
28;548;9;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0
28;992;7;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0
28;Ideal;;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0
29;106;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
29;257;8;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0
29;366;5;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
29;548;8;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0
29;992;2;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0
29;Ideal;;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0
30;106;5;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
30;257;8;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
30;366;6;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0
30;548;7;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0
30;992;9;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0
30;Ideal;;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0
31;106;9;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
31;257;7;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
31;366;5;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0
31;548;8;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0
31;992;9;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0
31;Ideal;;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0
32;106;5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
32;257;6;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
32;366;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
32;548;9;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
32;992;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
32;Ideal;;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0
33;106;2;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1
33;257;8;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0
33;366;4;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
33;548;6;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
