"abies";"acer";"alnusfru";"alnusund";"apiaceae";"artemisia";"asterund";"betunana";"betula";"brassicaceae";"carpinus";"chenopodiaceae";"corylus";"cyperaceae";"ephedra";"ericaceae";"fagus";"fraxinus";"juniperus";"larix";"olea";"picea";"pinushap";"pinus";"plantago";"poaceae";"quercusever";"quercusdec";"salix";"tilia";"ulmus";"gdd5";"mtco";"pann";"e_pe";"tann";"mtwa";"long";"lati";"alti";"biome"
"e405";0;0;0;0.44;0;0.22;0;0;34.29;0;0;0.22;0;2.21;0;0.44;0;0;0;0;0;0.89;0;60.18;0;0.89;0;0;0.22;0;0;546.092;-11.856;469.602;100.311;-0.721;12.373;28.5;69.35;104;"COMX"
"e406";0;0;0;2.35;0;0.59;0.59;0;33.14;0;0;0;0.29;5.87;0;2.35;0;0;0;0;0;4.69;0;46.63;0;2.93;0;0;0.59;0;0;458.735;-12.607;435.753;101.387;-1.463;11.793;28.25;70.11;119;"COMX"
"e407";0;0;0;1.5;0;0.86;0.86;0;36.4;0;0;0.43;0;14.99;0;7.92;0;0;0.21;0;0;1.71;0;26.55;0;7.49;0;0;1.07;0;0;472.342;-13.076;526.305;101.551;-1.586;11.858;31.02;70.19;120;"COMX"
"e408";0;0;0;1;0;0;0;0;71.91;0;0;0.33;0;4.35;0;2.34;0;0;2.68;0;0;0.67;0;13.71;0;2.34;0;0;0.67;0;0;415.209;-14.176;485.306;100.901;-2.16;11.648;21;68.55;535;"COMX"
"e411";0;0;0;7.09;0;0.77;0;0;42.84;0;0;0.62;0;7.24;0;1.39;0;0.15;0;0;0;2.16;0;34.21;0.15;2.77;0;0;0.62;0;0;886.514;-8.77;557.099;98.015;2.164;14.508;22.52;62.08;172;"COMX"
"e416";0;0;0;6.18;0;0.09;0;0;20.59;0;0;0;0;0.9;0;0.54;0;0.63;1.25;0;0;8.5;0;53.18;0.09;7.97;0;0;0.09;0;0;897.281;-9.057;573.362;98.806;2.145;14.69;26.14;62.2;118;"COMX"
"e417";0;0;0;2.02;0;0.81;0;0;24.19;0;0;0;0;26.21;0;0;0;0;0.4;0;0;4.44;0;37.5;0;4.03;0;0;0.4;0;0;718.613;-11.534;528.664;100.407;0.312;13.613;29.36;65.37;248;"COMX"
"e418";0;0;0;12.09;0.17;0.41;0.08;0;18.71;0.08;0;0.25;0.83;1.82;0;0.41;0;0.25;1.82;0;0;6.79;0;42.88;0.25;11.92;0;0.58;0.17;0;0.5;1004.376;-6.768;574.933;93.543;3.454;15.128;20.9;60.17;12;"COMX"
"e421";0;0;0;0.73;0;0;0;0;32.52;0;0;0.12;0;2.43;0;2.18;0;0;0;0;0;1.21;0;60.07;0;0.61;0;0;0.12;0;0;498.83;-12.554;453.686;100.49;-1.24;12.066;27.41;69.073;170;"COMX"
"e423";0;0;0;7.38;0.07;0.22;0.07;0;21.92;0;0;0.07;0.07;0.07;0;24.1;0.07;0;0;0;0;10.56;0;32.27;0.07;3.04;0;0;0;0;0;992.901;-7.976;596.813;96.571;2.945;15.18;24.13;60.44;115;"COMX"
"e424";0;0;0;13.91;0.1;0;0.1;0;38.16;0;0;0;0.68;0.48;0;0.48;0.1;0;0.1;0;0;7.34;0;35.65;0;1.74;0;0.19;0.48;0.29;0.19;933.677;-8.571;586.289;98.33;2.492;14.878;25.52;61.25;104;"COMX"
"e425";0;0;0;4.57;0.17;0.17;0;0;25.28;0.17;0;0.26;0;0.35;0;10.7;0;0;0;0;0;10.27;0;46.59;0;1.47;0;0;0;0;0;985.016;-7.87;594.354;96.835;2.967;15.137;24.3;60.52;84;"COMX"
"e426";0;0;0;5.49;0.09;0.17;0.09;0;29.7;0;0;0.44;0.17;0.17;0;7.93;0;0;0.87;0;0;12.2;0;39.37;0;3.14;0;0.09;0;0;0.09;996.834;-7.668;600.351;95.713;3.1;15.216;24.1;60.26;70;"COMX"
"e427";0;0;0;4.16;0;0.24;0.32;0;11.44;0.08;0;0.16;0;0;0;12.72;0;0;0.16;0;0;29.6;0;36.96;0;4.16;0;0;0;0;0;945.933;-7.54;562.333;96.494;2.947;14.905;22.04;61.18;35;"COMX"
