Produit;Juge;Rang;intensite;frais;fleuri;sucre;boise;vanille;epice;fruite;entetant;agrume;animal;vegetal
CocoMademoiselle;15;9;7;3;2;6;2;3;3;0;4;7;0;0
MissDior;15;10;6;6;8;8;0;6;8;0;7;0;0;0
Angel;15;11;8;3;2;6;8;2;6;0;6;0;1;0
Flower;15;12;3;6;8;6;0;0;2;1;0;3;0;2
Shalimar;16;1;9;1;0;0;9;0;0;0;10;0;0;0
LaPetiteRobeNoire;16;2;6;2;8;6;4;2;0;1;5;2;0;0
HypnoticPoison;16;3;6;4;9;2;0;8;0;1;0;0;0;0
Trésor;16;4;8;1;5;7;0;0;2;1;7;0;0;1
ChanelN5;16;5;9;0;1;2;4;0;3;0;9;0;0;0
AmorAmor;16;6;5;5;7;3;2;0;0;8;0;5;0;7
LolitaLempika;16;7;7;3;8;7;2;1;2;0;8;1;0;0
MissDior;16;8;8;4;3;6;8;0;1;2;6;3;0;6
JAdore;16;9;9;0;0;4;3;0;6;0;9;0;0;0
Flower;16;10;7;5;5;5;5;1;0;5;8;0;0;0
CocoMademoiselle;16;11;7;4;7;6;0;4;0;6;6;2;0;4
Angel;16;12;8;3;5;6;4;2;7;0;8;0;0;0
LaPetiteRobeNoire;17;1;8;2;5;9;9;0;9;9;10;3;10;0
Trésor;17;2;3;1;10;0;0;0;0;0;3;0;0;10
Shalimar;17;3;0;0;8;5;10;0;9;5;5;0;8;0
AmorAmor;17;4;10;3;0;10;7;0;5;5;10;8;9;0
HypnoticPoison;17;5;10;0;10;0;2;0;10;5;10;2;10;0
MissDior;17;6;2;2;6;10;10;7;5;8;10;2;7;2
ChanelN5;17;7;10;0;10;0;5;0;5;0;10;0;0;9
Flower;17;8;5;8;3;3;0;0;0;4;0;0;2;9
LolitaLempika;17;9;9;2;3;10;0;9;2;9;7;3;2;8
Angel;17;10;5;3;10;2;2;0;2;2;0;0;0;10
JAdore;17;11;9;4;1;9;7;0;7;0;10;0;10;0
CocoMademoiselle;17;12;10;0;0;0;10;0;10;0;10;0;10;0
Trésor;18;1;6;8;8;7;8;0;2;8;8;2;2;8
AmorAmor;18;2;7;8;8;3;7;2;6;8;8;8;0;8
LaPetiteRobeNoire;18;3;8;8;8;8;2;5;8;8;8;5;0;8
MissDior;18;4;9;9;9;7;9;0;9;8;5;1;0;8
Shalimar;18;5;3;5;8;8;6;6;6;0;8;0;0;6
Flower;18;6;9;9;9;6;9;3;8;8;9;0;0;9
HypnoticPoison;18;7;5;6;8;8;8;8;9;NA;8;0;0;8
Angel;18;8;8;7;7;8;9;5;5;8;8;8;2;8
ChanelN5;18;9;2;5;5;5;8;1;8;2;8;8;0;8
CocoMademoiselle;18;10;5;5;8;5;5;2;5;8;3;1;1;8
LolitaLempika;18;11;5;7;8;5;5;8;7;5;5;1;2;8
JAdore;18;12;5;8;8;5;5;1;8;8;5;0;0;8
AmorAmor;19;1;7;6;8;6;4;5;3;8;5;4;3;4
MissDior;19;2;7;7;9;6;3;4;2;5;5;4;2;7
Trésor;19;3;3;3;4;4;1;2;0;4;2;3;4;5
Flower;19;4;4;5;6;4;2;2;2;6;5;5;4;7
LaPetiteRobeNoire;19;5;7;6;8;8;4;4;3;6;6;5;3;7
Angel;19;6;10;2;3;2;5;1;7;1;10;2;6;4
Shalimar;19;7;8;3;4;4;2;3;2;7;7;5;3;6
CocoMademoiselle;19;8;7;3;7;7;3;4;3;6;5;5;3;6
HypnoticPoison;19;9;3;2;3;4;7;4;5;4;3;4;3;4
JAdore;19;10;6;5;7;3;2;2;3;7;5;3;3;4
ChanelN5;19;11;6;2;4;4;2;2;3;3;5;4;3;7
LolitaLempika;19;12;7;5;7;5;3;3;3;7;6;5;3;7
MissDior;20;1;7;7;8;6;2;5;2;7;9;4;0;3
Flower;20;2;4;4;3;3;1;9;3;2;5;1;NA;1
AmorAmor;20;3;5;9;8;8;3;1;2;8;3;9;0;3
Angel;20;4;9;8;9;8;4;2;2;3;8;0;2;2
Trésor;20;5;5;3;5;2;2;0;2;5;5;6;1;1
CocoMademoiselle;20;6;4;8;8;7;2;1;1;5;3;6;0;0
LaPetiteRobeNoire;20;7;8;8;8;9;1;0;1;8;7;5;0;1
JAdore;20;8;6;7;8;6;4;4;6;2;7;3;5;0
Shalimar;20;9;7;5;3;3;5;2;8;2;8;1;3;1
LolitaLempika;20;10;8;6;6;9;3;2;1;5;7;4;1;3
HypnoticPoison;20;11;8;6;3;5;5;9;3;1;6;2;4;5
ChanelN5;20;12;8;7;10;5;3;1;3;1;9;2;2;2
Angel;22;1;6;6;2;2;3;1;1;1;7;4;6;1
CocoMademoiselle;22;2;3;4;4;3;2;5;2;5;4;5;2;2
Flower;22;3;5;8;7;7;3;8;3;5;8;5;1;2
JAdore;22;4;4;3;3;6;2;7;3;3;6;2;2;3
MissDior;22;5;7;8;8;7;5;3;6;7;8;8;3;3
LolitaLempika;22;6;8;6;3;2;6;2;1;2;8;2;4;2
AmorAmor;22;7;6;7;6;3;8;3;3;3;4;3;3;6
ChanelN5;22;8;4;6;5;9;3;8;3;8;5;3;1;2
Trésor;22;9;7;8;8;8;3;7;5;9;3;7;1;2
HypnoticPoison;22;10;5;7;9;9;3;8;4;6;4;4;2;2
LaPetiteRobeNoire;22;11;7;8;6;5;4;6;6;6;4;6;2;2
Shalimar;22;12;6;8;6;4;4;6;3;7;6;7;2;4
CocoMademoiselle;23;1;7;3;6;7;7;0;8;1;10;1;0;9
JAdore;23;2;6;6;5;6;2;0;1;3;3;7;0;8
Angel;23;3;3;2;6;2;6;0;2;4;3;6;0;6
LolitaLempika;23;4;3;6;9;1;0;1;9;0;0;1;2;10
Flower;23;5;4;7;6;7;1;0;0;8;2;3;0;7
ChanelN5;23;6;8;3;4;4;1;0;2;4;9;2;5;5
MissDior;23;7;6;4;9;8;0;4;2;5;7;3;4;5
HypnoticPoison;23;8;8;2;9;9;7;2;2;4;6;3;3;5
AmorAmor;23;9;5;1;2;4;10;0;3;2;3;2;4;4
Trésor;23;11;7;2;3;1;4;1;2;2;7;3;3;4
Shalimar;23;10;6;0;5;2;8;0;1;2;6;2;5;5
LaPetiteRobeNoire;23;12;6;4;5;6;2;1;2;3;4;1;2;4
JAdore;24;1;8;4;8;7;4;2;4;3;3;3;4;6
LolitaLempika;24;2;8;3;9;4;8;6;7;5;8;6;5;8
CocoMademoiselle;24;3;5;6;9;5;2;7;5;8;3;5;3;3
